solar panels,male count,female count,baby,olders,employeed,income,district,squrefeet,units
No,2,0,0,1,1,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"Less than 1,500 square feet",105
No,2,3,1,1,2,"Between Rs. 50,000 and Rs. 100,000",Colombo,"1,500 to 2,500 square feet",119
No,2,2,0,2,2,"Between Rs. 200,000 and Rs. 300,000",Colombo,"1,500 to 2,500 square feet",152
No,1,3,1,0,3,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"1,500 to 2,500 square feet",110
No,3,3,0,2,1,"Between Rs. 100,000 and Rs. 200,000",Kandy,"2,500 to 3,500 square feet",130
No,2,3,1,1,2,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"1,500 to 2,500 square feet",127
No,2,4,2,1,3,"Between Rs. 200,000 and Rs. 300,000",Colombo,"2,500 to 3,500 square feet",131
No,0,1,0,0,1,"Between Rs. 50,000 and Rs. 100,000",Colombo,"Less than 1,500 square feet",115
No,1,2,1,0,1,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"1,500 to 2,500 square feet",140
No,1,2,0,1,1,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"1,500 to 2,500 square feet",155
No,5,0,0,0,5,"Between Rs. 200,000 and Rs. 300,000",Gampaha,"1,500 to 2,500 square feet",190
No,2,0,0,1,1,"Between Rs. 100,000 and Rs. 200,000",Colombo,"1,500 to 2,500 square feet",153
No,0,2,1,0,0,"Below Rs. 50,000",Gampaha,"Less than 1,500 square feet",99
No,3,3,1,0,1,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"2,500 to 3,500 square feet",123
No,5,3,0,1,3,"Above Rs. 400,000",Gampaha,"More than 4,500 square feet",240
No,2,4,0,1,2,"Between Rs. 200,000 and Rs. 300,000",Gampaha,"2,500 to 3,500 square feet",270
No,5,1,0,2,2,"Above Rs. 400,000",Colombo,"3,500 to 4,500 square feet",470
No,1,1,0,0,2,"Between Rs. 100,000 and Rs. 200,000",Colombo,"1,500 to 2,500 square feet",190
No,2,1,1,0,1,"Between Rs. 100,000 and Rs. 200,000",Colombo,"1,500 to 2,500 square feet",210
No,1,0,0,0,1,"Between Rs. 200,000 and Rs. 300,000",Colombo,"1,500 to 2,500 square feet",180
No,1,1,0,0,2,"Between Rs. 200,000 and Rs. 300,000",Colombo,"1,500 to 2,500 square feet",140
No,2,2,0,2,2,"Between Rs. 200,000 and Rs. 300,000",Gampaha,"1,500 to 2,500 square feet",180
No,1,1,0,0,1,"Between Rs. 50,000 and Rs. 100,000",Colombo,"1,500 to 2,500 square feet",115
No,0,3,0,0,2,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"1,500 to 2,500 square feet",180
No,0,2,1,0,1,"Between Rs. 50,000 and Rs. 100,000",Colombo,"1,500 to 2,500 square feet",130
No,1,0,0,0,1,"Between Rs. 50,000 and Rs. 100,000",Colombo,"Less than 1,500 square feet",100
No,1,1,0,2,0,"Below Rs. 50,000",Colombo,"Less than 1,500 square feet",100
No,3,4,0,3,3,"Between Rs. 300,000 and Rs.400,000",Colombo,"3,500 to 4,500 square feet",402
No,2,2,1,1,2,,Gampaha,"2,500 to 3,500 square feet",224
No,5,1,0,2,2,"Above Rs. 400,000",Colombo,"3,500 to 4,500 square feet",470
No,4,1,0,1,2,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"1,500 to 2,500 square feet",150
No,2,4,0,0,2,"Above Rs. 400,000",Gampaha,"2,500 to 3,500 square feet",400
No,2,3,0,1,2,"Between Rs. 200,000 and Rs. 300,000",Colombo,"2,500 to 3,500 square feet",230
No,3,1,1,0,2,"Between Rs. 200,000 and Rs. 300,000",Colombo,"1,500 to 2,500 square feet",160
No,3,2,0,0,1,"Below Rs. 50,000",Kaluthara,"1,500 to 2,500 square feet",90
No,1,2,1,0,1,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"Less than 1,500 square feet",75
No,4,1,0,1,3,"Above Rs. 400,000",Gampaha,"3,500 to 4,500 square feet",350
No,2,4,0,2,2,"Above Rs. 400,000",Colombo,"More than 4,500 square feet",420
No,4,3,0,1,2,"Between Rs. 300,000 and Rs.400,000",Gampaha,"2,500 to 3,500 square feet",220
No,4,3,0,2,2,"Between Rs. 300,000 and Rs.400,000",Colombo,"2,500 to 3,500 square feet",256
No,4,3,0,1,2,"Above Rs. 400,000",Gampaha,"More than 4,500 square feet",408
No,2,2,1,0,1,"Between Rs. 200,000 and Rs. 300,000",Gampaha,"1,500 to 2,500 square feet",158
No,2,2,0,1,2,"Between Rs. 200,000 and Rs. 300,000",Kaluthara,"2,500 to 3,500 square feet",200
No,2,2,0,1,2,"Between Rs. 200,000 and Rs. 300,000",Kaluthara,"2,500 to 3,500 square feet",200
No,1,4,0,2,1,"Between Rs. 300,000 and Rs.400,000",Gampaha,"1,500 to 2,500 square feet",155
No,1,0,0,0,1,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"Less than 1,500 square feet",56
No,2,2,0,0,3,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"1,500 to 2,500 square feet",245
No,1,2,1,0,1,"Between Rs. 50,000 and Rs. 100,000",Colombo,"1,500 to 2,500 square feet",250
No,3,2,1,1,2,"Between Rs. 100,000 and Rs. 200,000",Colombo,"1,500 to 2,500 square feet",375
No,1,2,0,1,1,"Between Rs. 50,000 and Rs. 100,000",Kaluthara,"Less than 1,500 square feet",245
No,2,3,0,1,2,"Between Rs. 200,000 and Rs. 300,000",Gampaha,"3,500 to 4,500 square feet",401
No,2,2,0,0,1,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"1,500 to 2,500 square feet",269
No,3,3,3,2,2,"Between Rs. 300,000 and Rs.400,000",Colombo,"3,500 to 4,500 square feet",402
No,3,4,2,2,2,"Between Rs. 300,000 and Rs.400,000",Gampaha,"3,500 to 4,500 square feet",410
No,2,3,1,1,2,"Between Rs. 200,000 and Rs. 300,000",Kaluthara,"2,500 to 3,500 square feet",520
No,2,2,0,0,2,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"Less than 1,500 square feet",111
No,1,1,0,2,0,"Between Rs. 50,000 and Rs. 100,000",Kaluthara,"Less than 1,500 square feet",98
No,2,3,0,2,1,"Between Rs. 50,000 and Rs. 100,000",Colombo,"Less than 1,500 square feet",158
No,1,3,2,0,1,"Between Rs. 100,000 and Rs. 200,000",Kaluthara,"1,500 to 2,500 square feet",328
No,3,3,1,1,2,"Between Rs. 300,000 and Rs.400,000",Colombo,"3,500 to 4,500 square feet",460
No,1,0,0,0,1,"Below Rs. 50,000",Kaluthara,"Less than 1,500 square feet",79
No,1,1,0,0,2,"Above Rs. 400,000",Colombo,"3,500 to 4,500 square feet",317
No,2,1,0,0,1,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"1,500 to 2,500 square feet",367
No,3,2,0,2,2,"Above Rs. 400,000",Colombo,"More than 4,500 square feet",480
No,1,1,0,0,1,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"Less than 1,500 square feet",120
No,2,1,1,0,1,"Between Rs. 50,000 and Rs. 100,000",Kaluthara,"Less than 1,500 square feet",165
No,2,2,0,0,2,"Between Rs. 200,000 and Rs. 300,000",Colombo,"2,500 to 3,500 square feet",187
No,1,0,0,0,1,"Between Rs. 100,000 and Rs. 200,000",Colombo,"Less than 1,500 square feet",135
No,3,2,2,1,2,"Above Rs. 400,000",Gampaha,"More than 4,500 square feet",652
No,2,2,1,0,1,"Between Rs. 100,000 and Rs. 200,000",Colombo,"2,500 to 3,500 square feet",285
No,4,3,1,3,2,"Above Rs. 400,000",Kaluthara,"More than 4,500 square feet",680
No,2,0,0,1,1,"Between Rs. 50,000 and Rs. 100,000",Colombo,"Less than 1,500 square feet",105
No,3,3,2,1,2,"Above Rs. 400,000",Gampaha,"3,500 to 4,500 square feet",569
No,0,1,0,1,0,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"1,500 to 2,500 square feet",125
No,2,2,0,0,2,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"Less than 1,500 square feet",289
No,2,2,1,1,2,"Between Rs. 200,000 and Rs. 300,000",Kaluthara,"3,500 to 4,500 square feet",586
No,2,3,0,2,2,"Between Rs. 200,000 and Rs. 300,000",Colombo,"3,500 to 4,500 square feet",500
No,3,4,0,2,2,"Above Rs. 400,000",Colombo,"More than 4,500 square feet",687
No,2,2,1,0,2,"Between Rs. 200,000 and Rs. 300,000",Gampaha,"1,500 to 2,500 square feet",358
No,2,3,0,0,3,"Between Rs. 300,000 and Rs.400,000",Kaluthara,"3,500 to 4,500 square feet",285
No,2,3,0,0,2,"Between Rs. 200,000 and Rs. 300,000",Kaluthara,"2,500 to 3,500 square feet",265
No,2,2,1,1,2,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"1,500 to 2,500 square feet",165
No,1,1,0,0,2,"Between Rs. 100,000 and Rs. 200,000",Colombo,"1,500 to 2,500 square feet",165
No,3,1,1,0,1,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"Less than 1,500 square feet",170
No,1,1,0,0,2,"Between Rs. 200,000 and Rs. 300,000",Kaluthara,"Less than 1,500 square feet",198
No,2,3,0,1,0,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"2,500 to 3,500 square feet",325
No,2,3,0,0,1,"Below Rs. 50,000",Colombo,"Less than 1,500 square feet",119
No,2,3,0,0,2,"Between Rs. 300,000 and Rs.400,000",Gampaha,"3,500 to 4,500 square feet",554
No,0,2,0,0,1,"Between Rs. 200,000 and Rs. 300,000",Colombo,"2,500 to 3,500 square feet",268
No,3,4,1,1,3,"Above Rs. 400,000",Kaluthara,"3,500 to 4,500 square feet",688
No,1,0,0,0,0,"Below Rs. 50,000",Colombo,"Less than 1,500 square feet",99
No,2,2,1,1,2,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"1,500 to 2,500 square feet",200
No,2,3,2,0,2,"Between Rs. 300,000 and Rs.400,000",Gampaha,"3,500 to 4,500 square feet",465
No,1,1,0,0,2,"Above Rs. 400,000",Gampaha,"2,500 to 3,500 square feet",444
No,0,3,0,1,2,"Between Rs. 100,000 and Rs. 200,000",Kaluthara,"1,500 to 2,500 square feet",324
No,3,3,0,2,3,"Above Rs. 400,000",Kaluthara,"3,500 to 4,500 square feet",665
No,1,1,0,0,1,"Below Rs. 50,000",Gampaha,"Less than 1,500 square feet",221
No,3,2,1,2,2,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"2,500 to 3,500 square feet",354
No,2,2,0,0,2,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"Less than 1,500 square feet",208
No,3,2,0,2,2,"Above Rs. 400,000",Colombo,"More than 4,500 square feet",480
No,1,3,0,1,2,"Between Rs. 200,000 and Rs. 300,000",Gampaha,"1,500 to 2,500 square feet",110
No,2,2,0,0,2,"Between Rs. 50,000 and Rs. 100,000",Kaluthara,"1,500 to 2,500 square feet",90
No,3,3,0,0,3,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"1,500 to 2,500 square feet",120
No,2,1,0,0,1,"Below Rs. 50,000",Gampaha,"Less than 1,500 square feet",266
No,2,2,0,2,2,"Between Rs. 100,000 and Rs. 200,000",Colombo,"Less than 1,500 square feet",138
No,1,2,0,1,3,"Between Rs. 300,000 and Rs.400,000",Gampaha,"3,500 to 4,500 square feet",146
Yes,3,1,0,2,2,"Between Rs. 50,000 and Rs. 100,000",Puttalam,"1,500 to 2,500 square feet",125
No,2,1,0,1,1,"Between Rs. 50,000 and Rs. 100,000",Colombo,"1,500 to 2,500 square feet",200
No,2,2,0,0,1,"Between Rs. 50,000 and Rs. 100,000",Colombo,"1,500 to 2,500 square feet",101
No,1,3,0,2,1,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"2,500 to 3,500 square feet",187
No,1,1,0,0,0,,Colombo,"1,500 to 2,500 square feet",110
Yes,2,2,0,0,1,"Above Rs. 400,000",Colombo,"More than 4,500 square feet",401
No,3,2,0,3,2,"Between Rs. 300,000 and Rs.400,000",Gampaha,"2,500 to 3,500 square feet",118
No,1,4,4,5,4,"Below Rs. 50,000",Gampaha,"2,500 to 3,500 square feet",120
No,1,2,0,2,1,"Between Rs. 100,000 and Rs. 200,000",Colombo,"2,500 to 3,500 square feet",200
No,1,3,0,0,4,"Between Rs. 100,000 and Rs. 200,000",Colombo,"2,500 to 3,500 square feet",8
No,0,3,0,0,1,"Below Rs. 50,000",Kurunegala,"Less than 1,500 square feet",89
No,2,2,0,0,4,"Between Rs. 50,000 and Rs. 100,000",Colombo,"2,500 to 3,500 square feet",90
No,2,2,2,1,1,"Below Rs. 50,000",Kegalle,"1,500 to 2,500 square feet",96
No,2,1,0,2,1,"Between Rs. 200,000 and Rs. 300,000",Puttalam,"More than 4,500 square feet",97
No,3,4,0,2,2,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"2,500 to 3,500 square feet",113
No,2,1,1,0,2,"Between Rs. 100,000 and Rs. 200,000",Colombo,"1,500 to 2,500 square feet",5
No,2,2,0,2,2,"Between Rs. 300,000 and Rs.400,000",Puttalam,"1,500 to 2,500 square feet",196
No,2,2,0,0,2,"Below Rs. 50,000",Gampaha,"1,500 to 2,500 square feet",120
No,2,1,0,0,2,"Between Rs. 100,000 and Rs. 200,000",Colombo,"3,500 to 4,500 square feet",80
Yes,3,2,0,0,2,"Above Rs. 400,000",Kegalle,"3,500 to 4,500 square feet",19
Yes,3,2,0,0,2,"Above Rs. 400,000",Kegalle,"3,500 to 4,500 square feet",19
No,2,2,1,2,3,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"2,500 to 3,500 square feet",120
No,3,1,0,0,1,"Below Rs. 50,000",Gampaha,"1,500 to 2,500 square feet",100
No,2,2,0,0,2,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"1,500 to 2,500 square feet",109
No,2,2,2,2,4,"Below Rs. 50,000",Hambantota,"1,500 to 2,500 square feet",34
No,2,2,0,0,5,,Gampaha,"Less than 1,500 square feet",2300
No,3,1,0,2,3,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"1,500 to 2,500 square feet",140
No,1,2,0,1,3,"Between Rs. 200,000 and Rs. 300,000",Gampaha,"3,500 to 4,500 square feet",151
No,2,2,0,0,2,"Between Rs. 100,000 and Rs. 200,000",Kandy,"3,500 to 4,500 square feet",50
No,3,1,0,2,3,"Between Rs. 50,000 and Rs. 100,000",Matara,"1,500 to 2,500 square feet",65
No,3,1,2,4,5,"Below Rs. 50,000",Gampaha,"1,500 to 2,500 square feet",100
No,3,2,0,0,4,"Above Rs. 400,000",Gampaha,"More than 4,500 square feet",270
No,2,2,0,0,1,"Below Rs. 50,000",Kegalle,"1,500 to 2,500 square feet",100
Yes,2,2,0,2,4,"Between Rs. 100,000 and Rs. 200,000",Trincomalee,"1,500 to 2,500 square feet",70
No,3,2,0,0,3,"Below Rs. 50,000",Gampaha,"Less than 1,500 square feet",98
No,2,2,0,1,4,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"1,500 to 2,500 square feet",98
No,2,1,0,2,2,"Between Rs. 100,000 and Rs. 200,000",Kandy,"1,500 to 2,500 square feet",30
No,2,2,0,0,2,,Kaluthara,"1,500 to 2,500 square feet",101
No,1,3,0,0,1,"Below Rs. 50,000",Gampaha,"1,500 to 2,500 square feet",160
No,2,2,0,0,3,"Between Rs. 200,000 and Rs. 300,000",Gampaha,"1,500 to 2,500 square feet",124
No,2,2,2,2,1,"Between Rs. 50,000 and Rs. 100,000",Kandy,"Less than 1,500 square feet",60
No,2,2,1,0,2,"Between Rs. 100,000 and Rs. 200,000",Anuradhapura,"1,500 to 2,500 square feet",20
No,1,3,0,1,1,"Between Rs. 100,000 and Rs. 200,000",Colombo,"1,500 to 2,500 square feet",18612
No,2,5,1,0,5,"Between Rs. 200,000 and Rs. 300,000",Colombo,"2,500 to 3,500 square feet",110
No,2,2,0,0,1,"Between Rs. 50,000 and Rs. 100,000",Ratnapura,"More than 4,500 square feet",1530
No,2,3,0,1,2,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"2,500 to 3,500 square feet",59
No,2,2,0,0,2,"Between Rs. 50,000 and Rs. 100,000",Kurunegala,"2,500 to 3,500 square feet",65
No,2,3,1,0,3,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"2,500 to 3,500 square feet",3
No,1,1,0,0,2,"Above Rs. 400,000",Colombo,"3,500 to 4,500 square feet",29
Yes,2,2,0,0,2,"Below Rs. 50,000",Kegalle,"Less than 1,500 square feet",12
No,2,2,0,0,2,"Between Rs. 200,000 and Rs. 300,000",Colombo,"1,500 to 2,500 square feet",90
Yes,2,2,1,1,2,"Between Rs. 50,000 and Rs. 100,000",Colombo,"3,500 to 4,500 square feet",330
Yes,4,1,2,0,3,"Below Rs. 50,000",Ratnapura,"1,500 to 2,500 square feet",30
No,0,3,0,0,2,"Between Rs. 50,000 and Rs. 100,000",Colombo,"1,500 to 2,500 square feet",4000
No,2,2,0,2,2,"Between Rs. 200,000 and Rs. 300,000",Kaluthara,"2,500 to 3,500 square feet",50
No,2,1,0,0,2,"Between Rs. 50,000 and Rs. 100,000",Colombo,"Less than 1,500 square feet",60
No,4,1,0,0,5,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"1,500 to 2,500 square feet",189
No,1,3,0,0,3,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"1,500 to 2,500 square feet",120
No,2,4,0,2,2,"Between Rs. 300,000 and Rs.400,000",Colombo,"3,500 to 4,500 square feet",75
No,2,1,0,1,2,"Between Rs. 300,000 and Rs.400,000",Colombo,"3,500 to 4,500 square feet",10
Yes,3,2,0,1,4,"Between Rs. 200,000 and Rs. 300,000",Galle,"More than 4,500 square feet",70
No,1,2,0,0,2,"Below Rs. 50,000",Kandy,"1,500 to 2,500 square feet",254
No,3,1,3,2,5,"Between Rs. 50,000 and Rs. 100,000",Ratnapura,"Less than 1,500 square feet",165
No,2,2,0,0,3,"Between Rs. 50,000 and Rs. 100,000",Kaluthara,"1,500 to 2,500 square feet",100
Yes,3,4,2,1,2,"Between Rs. 50,000 and Rs. 100,000",Colombo,"2,500 to 3,500 square feet",155
No,2,1,0,1,1,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"2,500 to 3,500 square feet",117
No,3,2,0,2,2,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"1,500 to 2,500 square feet",125
No,3,2,0,1,2,"Below Rs. 50,000",Gampaha,"1,500 to 2,500 square feet",110
No,0,3,0,1,0,"Below Rs. 50,000",Galle,"More than 4,500 square feet",4
No,2,2,0,2,2,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"1,500 to 2,500 square feet",270
No,3,1,0,1,2,,Gampaha,"1,500 to 2,500 square feet",129
Yes,2,2,1,1,2,"Between Rs. 50,000 and Rs. 100,000",Colombo,"3,500 to 4,500 square feet",330
No,3,5,0,1,3,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"1,500 to 2,500 square feet",121
No,2,3,0,0,2,"Between Rs. 100,000 and Rs. 200,000",Colombo,"3,500 to 4,500 square feet",140
No,4,2,0,1,2,"Below Rs. 50,000",Gampaha,"Less than 1,500 square feet",60
No,2,3,0,0,2,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"1,500 to 2,500 square feet",141
No,2,3,2,5,4,"Above Rs. 400,000",Kandy,"More than 4,500 square feet",120
No,2,3,1,0,2,"Between Rs. 100,000 and Rs. 200,000",Colombo,"1,500 to 2,500 square feet",225
Yes,2,2,0,0,3,"Between Rs. 50,000 and Rs. 100,000",Colombo,"2,500 to 3,500 square feet",40
No,2,3,0,0,5,"Below Rs. 50,000",Colombo,"Less than 1,500 square feet",1
No,3,2,0,0,3,"Between Rs. 50,000 and Rs. 100,000",Kurunegala,"2,500 to 3,500 square feet",135
No,0,2,0,0,1,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"1,500 to 2,500 square feet",24
No,3,3,0,1,2,"Between Rs. 100,000 and Rs. 200,000",Colombo,"2,500 to 3,500 square feet",1250
No,1,4,0,0,2,"Between Rs. 50,000 and Rs. 100,000",Colombo,"Less than 1,500 square feet",123
No,3,1,1,0,1,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"1,500 to 2,500 square feet",117
No,1,1,0,1,0,"Between Rs. 50,000 and Rs. 100,000",Colombo,"2,500 to 3,500 square feet",98
No,1,2,0,0,1,"Between Rs. 50,000 and Rs. 100,000",Galle,"2,500 to 3,500 square feet",90
No,2,4,0,1,2,"Between Rs. 50,000 and Rs. 100,000",Kaluthara,"Less than 1,500 square feet",125
No,2,2,0,0,2,"Between Rs. 300,000 and Rs.400,000",Kaluthara,"3,500 to 4,500 square feet",332
No,3,1,0,0,2,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"Less than 1,500 square feet",55
No,2,2,0,2,4,"Above Rs. 400,000",Kaluthara,"3,500 to 4,500 square feet",542
No,1,2,0,0,2,,Gampaha,"1,500 to 2,500 square feet",289
No,2,4,0,1,3,"Between Rs. 300,000 and Rs.400,000",Colombo,"3,500 to 4,500 square feet",60
No,1,4,0,0,2,"Between Rs. 50,000 and Rs. 100,000",Colombo,"Less than 1,500 square feet",124
No,1,2,1,2,2,"Between Rs. 50,000 and Rs. 100,000",Kaluthara,"1,500 to 2,500 square feet",117
No,2,3,0,1,4,"Between Rs. 200,000 and Rs. 300,000",Kandy,"1,500 to 2,500 square feet",124
